Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Brisbane International,2024-12-29 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Goffin D.,Vukic A.,68,52,778,1037,2.0,1.8,6-2 6-3
Brisbane International,2024-12-30 00:00:00,ATP250,Outdoor,Hard,1st Round,3,O Connell C.,Michelsen A.,Michelsen A.,64,41,795,1245,2.75,1.44,4-6 6-4 6-7
Brisbane International,2024-12-30 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Bonzi B.,Tabilo A.,Bonzi B.,75,23,730,1943,1.67,2.2,6-7 7-6 6-4
Brisbane International,2024-12-30 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Rinderknech A.,Nishioka Y.,Nishioka Y.,59,69,927,776,2.5,1.53,3-6 4-6
Brisbane International,2024-12-30 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Berrettini M.,Thompson J.,26,34,1745,1380,2.63,1.5,3-6 6-3 6-4
Brisbane International,2024-12-30 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Navone M.,Jarry N.,Jarry N.,47,35,1148,1370,3.2,1.36,5-7 6-7
Brisbane International,2024-12-30 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Hanfmann Y.,Dimitrov G.,10,96,3350,627,1.14,5.5,7-6 6-3
Brisbane International,2024-12-30 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Rune H.,Lehecka J.,Lehecka J.,13,28,3025,1660,1.53,2.5,5-7 3-6
Brisbane International,2024-12-31 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Gomez F.,Opelka R.,293,137,176,442,1.5,2.63,7-5 6-4
Brisbane International,2024-12-31 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,Arnaldi M.,Arnaldi M.,24,37,1865,1345,1.53,2.5,3-6 2-6
Brisbane International,2024-12-31 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Walton A.,Tiafoe F.,18,93,2585,636,1.22,4.33,7-6 6-3
Brisbane International,2024-12-31 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Mensik J.,Mensik J.,113,48,542,1136,3.75,1.29,6-7 4-6
Brisbane International,2024-12-31 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Cazaux A.,Lajovic D.,81,63,710,807,1.27,3.7,6-4 6-4
Brisbane International,2024-12-31 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Basavareddy N.,Monfils G.,Monfils G.,138,55,440,1005,2.3,1.62,4-6 6-4 1-6
Brisbane International,2024-12-31 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Hijikata R.,Djokovic N.,7,73,3910,746,1.04,13.0,6-3 6-3
Brisbane International,2025-01-01 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Nishioka Y.,Lehecka J.,Lehecka J.,69,28,776,1660,3.2,1.36,2-6 7-6 4-6
Brisbane International,2025-01-01 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Jarry N.,Bonzi B.,Jarry N.,35,75,1370,730,2.63,1.5,6-2 6-3
Brisbane International,2025-01-01 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Vukic A.,Dimitrov G.,Dimitrov G.,68,10,778,3350,4.5,1.2,2-6 6-7
Brisbane International,2025-01-01 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Michelsen A.,Thompson J.,26,41,1745,1245,1.67,2.2,7-5 6-3
Brisbane International,2025-01-02 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Lajovic D.,Mensik J.,Mensik J.,81,48,710,1136,4.0,1.25,3-6 2-6
Brisbane International,2025-01-02 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Opelka R.,Arnaldi M.,Opelka R.,293,37,176,1345,2.5,1.53,7-6 7-6
Brisbane International,2025-01-02 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Tiafoe F.,Mpetshi G.,Mpetshi G.,18,31,2585,1561,1.8,2.0,4-6 6-7
Brisbane International,2025-01-02 00:00:00,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Monfils G.,Djokovic N.,7,55,3910,1005,1.06,10.0,6-3 6-3
Brisbane International,2025-01-03 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Jarry N.,Lehecka J.,Lehecka J.,35,28,1370,1660,3.2,1.36,4-6 4-6
Brisbane International,2025-01-03 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Mpetshi G.,Mensik J.,Mpetshi G.,31,48,1561,1136,1.73,2.1,7-5 7-6
Brisbane International,2025-01-03 00:00:00,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Opelka R.,Opelka R.,7,293,3910,176,1.05,11.0,6-7 3-6
Brisbane International,2025-01-04 00:00:00,ATP250,Outdoor,Hard,Semifinals,3,Opelka R.,Mpetshi G.,Opelka R.,293,31,176,1561,2.2,1.67,6-3 7-6
Hong Kong Tennis Open,2024-12-30 00:00:00,ATP250,Outdoor,Hard,1st Round,3,Darderi L.,Kecmanovic M.,Kecmanovic M.,44,54,1198,1021,3.5,1.3,3-6 3-6
